step,action0,action1,action2,action3,action4,action5,action6,action7,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,state17,state18,state19,state20,state21,state22,state23,state24,state25,state26,
0,0.00594987,-0.00435795,0.0272058,0.00060414,0.0559221,0,1,0.176922,0.654131,0.996935,0.042092,0.0582416,-0.0309292,-0.00735012,0.0565116,0.0761231,0.0462263,-0.000918915,0.0158844,-0.0385503,0.043975,0.047868,0.0731876,0.0648389,0.0549416,0.0181467,0.0555343,0.0700165,0.0293458,0.035029,0.0451245,0.00214929,0.0969759,0.0306798,0.0941912,
1,0.00372068,-0.0335498,0.013357,0.0132698,0.0580728,0,-0.215846,0.0876062,0.679343,0.995791,0.0431958,0.0677656,-0.0440672,0.00160658,0.435056,0.0889082,-0.414957,0.180825,-0.408367,-0.0349166,0.432753,-0.0780179,0.211484,0.300905,0.135721,0.400988,-1.09576,0.284123,8.35766,0.469434,-10.1938,7.21431,-8.86545,0.112628,8.55661,
2,1.03182e-05,-0.065171,-0.0280728,0.0235375,0.0578154,0,-0.42722,-0.0814848,0.676326,0.993851,0.0445234,0.0765544,-0.0664657,0.0176242,0.845104,0.121928,-0.912025,0.494135,-0.824435,-0.029101,0.844015,-0.0208494,0.113516,-0.434979,0.0619631,0.211146,-0.709701,0.356759,8.04718,0.850363,-9.6927,5.33168,-7.78677,0.119408,7.89963,
3,-0.00134091,-0.0957502,-0.0269713,0.0236099,0.0553046,0,-0.79549,-0.117018,0.646893,0.997243,-0.0125532,0.0175286,-0.0710086,0.0313965,1.24165,0.173444,-1.28361,0.545899,-1.22002,-0.025403,1.20988,0.082234,-0.0457311,-0.717097,-1.25741,-4.83869,0.488667,0.213255,6.3738,1.21783,-0.420017,-1.6811,-8.00454,0.0358777,6.86537,
4,0.00117954,-0.0966416,0.039831,0.029923,0.0561304,0,-0.276815,0.00606553,0.656573,0.997979,0.00442555,-0.045599,-0.0440439,0.0366849,1.25321,0.24126,-1.23609,0.321174,-1.25982,-0.024217,1.24962,1.19728,-0.492265,1.16311,0.998124,-0.898312,1.84014,-0.00272713,-1.08523,1.40858,1.163,-7.16194,1.13575,-0.00860091,-1.06505,
5,0.00694446,-0.0929734,0.0877723,0.00480038,0.0608594,0,0.147401,0.231141,0.71202,0.997596,0.0163051,-0.0665884,0.0100752,0.0437226,1.20564,0.318661,-1.17885,-0.0767248,-1.20273,-0.024808,1.18017,1.39468,-0.532934,0.903173,0.441229,-0.765039,2.30815,0.281536,-0.820547,1.70781,1.1215,-8.77046,1.14267,-0.0106427,-1.71092,
6,0.0123849,-0.0899482,0.0524909,-0.023103,0.0636091,0,0.475535,0.429955,0.744276,0.993897,0.0264395,-0.0856126,0.0643449,0.0735002,1.16641,0.413154,-1.12399,-0.477299,-1.10431,-0.0239697,1.07956,1.36949,-0.527289,0.383852,0.657333,-0.731742,2.00796,0.904261,-0.749062,2.06896,1.07331,-7.26433,2.77969,0.0433294,-2.30857,
7,0.0146508,-0.0868177,0.0277411,-0.0330322,0.0640885,0,0.774637,0.465064,0.7499,0.988516,0.0525181,-0.10294,0.0973701,0.127588,1.12581,0.526732,-1.07156,-0.556016,-0.889882,-0.019065,0.950136,1.28042,-0.2705,-0.158262,1.43888,-0.778293,0.790377,1.25302,-0.874865,2.02857,1.02475,1.86531,5.77225,0.147682,-2.86117,
8,0.0137768,-0.0830606,0.0417977,-0.025617,0.0621792,0,0.275165,0.356673,0.727501,0.982105,0.0935832,-0.11868,0.112374,0.193908,1.07709,0.532943,-1.0216,-0.324614,-0.52287,-0.00882831,0.794521,1.11401,-0.168334,-0.718025,1.75039,-0.62204,-0.0815079,1.40214,-1.07395,-0.278213,0.971644,7.34569,7.31852,0.269043,-3.36046,
9,0.00940046,-0.0786114,0.100861,-0.00577899,0.0583834,0,-0.156508,0.140136,0.682985,0.980595,0.121459,-0.1097,0.107919,0.269966,1.01939,0.525274,-0.974623,0.0837904,-0.492621,0.00763541,0.615326,0.911186,-0.172012,-1.03937,0.478635,1.15431,-0.977582,1.6448,-1.23284,-0.0592204,0.907036,8.93263,-0.892303,0.398052,-3.8056,
10,0.000605999,-0.0738386,0.120958,0.0141479,0.0535787,0,-0.484309,-0.0914725,0.626665,0.989674,0.109254,-0.0555911,0.0742862,0.368965,0.957503,0.523992,-0.930635,0.487682,-0.518045,0.0299274,0.500605,0.900541,-0.201835,-1.32717,-0.827655,1.8882,-1.51393,2.30197,-1.23186,-0.0060725,0.863189,7.30044,-0.203759,0.469548,0.277107,
11,-0.00567182,-0.06941,0.0779637,0.01284,0.0469222,0,-0.768966,-0.141556,0.548687,0.994421,0.083538,-0.0140511,0.0628594,0.502598,0.900074,0.523891,-0.888256,0.54253,-0.544668,0.05134,0.517975,1.30773,-0.218163,-1.76296,-1.21405,1.66025,-0.126086,3.04299,-1.0697,0.000112699,0.829272,-1.86702,-0.855072,0.402945,0.199238,
12,-0.00724799,-0.0655477,0.0540092,0.00200248,0.0390801,0,-0.266215,-0.0439898,0.456883,0.995238,0.0353811,0.0268195,0.0867819,0.541464,0.849989,0.523861,-0.847905,0.313095,-0.611599,0.068429,0.522654,1.29344,-0.470324,-1.55184,-1.05987,0.71325,1.68199,-0.47077,-0.917628,-0.000686549,0.787679,-7.27883,-1.79676,0.289778,0.0312852,
13,-0.00344283,-0.0612373,-0.0131034,-0.000972205,0.0395601,0,0.144225,0.166208,0.4625,0.990608,0.0187676,0.0287152,0.132362,0.526142,0.794094,0.521415,-0.805723,-0.0774423,-0.697082,0.0723486,0.52322,1.6092,-0.591668,0.33671,-0.421045,0.398963,1.73412,-0.123598,-1.12416,0.03127,0.851249,-8.5165,-1.76686,0.0322689,0.00208898,
14,0.000443636,-0.0569826,-0.141335,-0.0279553,0.0399489,0,0.462775,0.36148,0.46705,0.984301,0.0108195,0.0361106,0.172426,0.517789,0.73892,0.524701,-0.764199,-0.466739,-0.752426,0.0735152,0.52325,1.51005,-0.594291,-0.155,-0.221243,0.341171,1.50373,-0.210121,-1.08258,-0.0125142,0.810102,-7.06683,-0.458717,0.0136203,3.02635e-06,
15,0.00232008,-0.052531,-0.180259,-0.0351461,0.0385275,0,0.808247,0.396493,0.450416,0.980297,0.00717811,0.0370484,0.19389,0.482484,0.681195,0.523988,-0.724608,-0.551119,-0.708467,0.0750057,0.523266,1.00459,-0.24634,-0.394776,-0.576485,-0.542106,0.493028,-1.20023,-1.22721,-0.00700632,0.778336,1.60518,2.19404,0.0387753,0.000337737,
16,0.00283806,-0.0473895,-0.0796042,-0.0259261,0.0359982,0,0.276516,0.282401,0.42082,0.97869,0.0121656,0.0196369,0.204041,0.392867,0.614522,0.523856,-0.686809,-0.326134,-0.528521,0.0772645,0.523281,0.556248,-0.093884,-0.740092,0.0259895,-1.10611,0.121295,-2.39404,-1.43151,-0.000300374,0.739411,7.34779,4.98094,0.0604988,0.000290341,
17,0.00145106,-0.0416249,0.117357,0.00389812,0.0341279,0,-0.156621,0.0639814,0.398938,0.979405,0.00452154,0.0116691,0.201517,0.261478,0.53977,0.523821,-0.648527,0.0829866,-0.500431,0.0819953,0.523275,0.251374,0.0803989,-0.078541,-0.631836,0.196975,-0.251474,-2.85605,-1.55224,8.26473e-05,0.788114,9.00337,-0.66031,0.125066,0.000357328,
18,-0.000422492,-0.0396583,0.298303,0.0276745,0.0333605,0,-0.492053,-0.158277,0.389961,0.980263,-0.00637944,0.0128563,0.197175,0.14394,0.514269,0.523803,-0.609615,0.493936,-0.520603,0.0879785,0.523313,0.154828,-0.0489952,-0.0247587,0.238042,-0.368536,0.114708,-1.78977,0.229875,-0.000638853,0.77504,7.44421,-0.149057,0.0698174,-0.000818887,
19,0.000607181,-0.040906,0.334446,0.030087,0.032897,0,-0.76793,-0.183106,0.384539,0.97772,0.00155362,0.00539443,0.209839,0.110836,0.530448,0.523619,-0.570197,0.538697,-0.556676,0.0891835,0.523328,0.636647,0.156969,-0.036295,-0.404627,0.0887032,0.593074,0.444305,0.411552,-0.0170333,0.81809,-1.86293,-1.25467,-0.00160483,0.000569832,
20,0.00270285,-0.0425255,0.242263,0.0253362,0.0348147,0,-0.276701,-0.0596238,0.406973,0.973206,-0.0166565,-0.0138223,0.228914,0.186239,0.551448,0.523796,-0.526115,0.316943,-0.645688,0.0887073,0.52337,1.62576,0.120655,0.733119,-0.970565,-0.834824,0.692831,2.59746,0.45618,-0.0210847,0.927005,-7.02567,-2.33818,-0.00899049,-0.000125055,
21,0.00385005,-0.0442842,0.0257788,0.0106973,0.0391286,0,0.137306,0.161433,0.45745,0.969142,-0.0406383,-0.0351106,0.240583,0.353113,0.574255,0.524044,-0.519872,-0.0708855,-0.765866,0.0889829,0.52336,2.18753,0.0251523,1.45333,-0.823363,-0.282121,0.367086,4.01517,0.398802,-0.000694259,-0.107472,-8.48657,-2.43296,0.0213672,-0.00089486,
22,0.00400073,-0.0459221,-0.208708,-0.0164516,0.0442818,0,0.458262,0.370356,0.51777,0.966373,-0.0580272,-0.0448885,0.246456,0.543137,0.595494,0.523883,-0.525204,-0.460093,-0.854388,0.0909169,0.523331,1.9658,-0.00426552,0.945276,-0.668031,-0.108364,0.472448,1.52948,0.4518,-0.00256484,-0.108016,-7.0971,-1.12116,0.0466566,-0.00036092,
23,0.00349065,-0.0474107,-0.245761,-0.0274754,0.047021,0,0.826532,0.418289,0.549844,0.965014,-0.0651616,-0.0490801,0.249186,0.524282,0.614797,0.523877,-0.530631,-0.549322,-0.841092,0.0942557,0.523317,1.64902,0.174918,0.353975,-0.0679815,-0.170125,-0.121336,-1.26947,0.320063,-1.49776e-05,-0.10651,1.47943,1.62854,0.0838245,1.53133e-05,
24,0.00142301,-0.0482405,-0.109696,-0.0208823,0.047276,0,0.276571,0.315489,0.552831,0.967304,-0.0587506,-0.0543952,0.240652,0.418057,0.625557,0.523892,-0.535859,-0.326795,-0.684883,0.0992225,0.523311,1.39929,0.296553,-0.237681,0.43559,-0.2861,-0.68137,-2.96563,0.111104,0.00024446,-0.103227,7.3698,4.59785,0.116651,-0.00011127,
25,-0.00209307,-0.0483484,0.122738,-0.00225299,0.045175,0,-0.156209,0.0991651,0.528229,0.97243,-0.0463967,-0.0574904,0.221182,0.253541,0.626958,0.523886,-0.540997,0.0826521,-0.475563,0.105502,0.523308,1.213,0.237972,-0.684551,0.0107292,0.234557,-0.968294,-3.61095,-0.0614805,-0.000326707,-0.105454,8.9965,0.0762569,0.13736,4.4059e-05,
26,-0.00575207,-0.0480577,0.313842,0.0180722,0.0415101,0,-0.491501,-0.132484,0.485323,0.977576,-0.0487151,-0.0428031,0.200351,0.0993204,0.623187,0.523879,-0.545122,0.493273,-0.50933,0.111787,0.5233,1.25886,0.0985325,-0.970501,0.256828,1.54064,-0.574406,-2.5733,-0.0897202,4.37935e-05,-0.0287087,7.44177,-0.502395,0.112327,-0.000278859,
27,-0.00561531,-0.047991,0.35613,0.021027,0.0377134,0,-0.759112,-0.167918,0.440889,0.977465,-0.0224956,-0.0229417,0.208638,0.0307066,0.622322,0.523834,-0.546162,0.53812,-0.557362,0.114834,0.523316,1.51413,-0.322047,-0.929009,1.79995,-0.0888389,0.625934,-0.187199,0.0549575,5.13225e-05,-0.0171946,-1.92944,-1.41788,0.0298869,8.80702e-05,
28,-0.00255529,-0.048333,0.275554,0.0255471,0.0352123,0,-0.276594,-0.055637,0.411624,0.971378,-0.00683149,-0.0119898,0.237139,0.0832762,0.626757,0.523352,-0.54405,0.311868,-0.654232,0.114422,0.523354,2.5641,-0.183354,0.782341,-1.09073,0.00418651,1.58086,2.14298,0.0369177,-0.0589249,0.168563,-6.86946,-2.3215,-0.0437035,0.00162358,
29,0.00141101,-0.0483658,0.0588178,0.0085818,0.0397314,0,0.136854,0.16329,0.464505,0.961445,-0.0357008,-0.0369907,0.270151,0.234369,0.627183,0.524308,-0.535024,-0.0708556,-0.771138,0.11217,0.523337,2.89448,-0.393757,1.24409,-0.567248,-0.32836,0.992814,3.89135,0.0156311,-0.000567806,0.248718,-8.46123,-2.41464,-0.0406738,-0.00192976,
30,0.00381525,-0.0485123,-0.214455,-0.0178243,0.0441029,0,0.456276,0.369201,0.515676,0.95455,-0.0533233,-0.0431353,0.290054,0.434938,0.629082,0.523935,-0.52306,-0.458667,-0.857545,0.110757,0.523306,2.78597,-0.417774,0.801602,-0.884241,0.167913,0.739291,4.12923,0.0603485,-0.0043379,0.190794,-7.0613,-1.05407,-0.0169139,-4.02129e-05,
31,0.00479187,-0.0484713,-0.298361,-0.0286856,0.0463113,0,0.832629,0.416092,0.541533,0.951129,-0.0621039,-0.0419972,0.299556,0.542091,0.62855,0.523877,-0.522682,-0.548588,-0.841102,0.110803,0.523301,2.38354,-0.256595,0.230179,0.0518504,0.0677818,0.400645,-0.244547,-0.0754357,-0.000417986,-0.0332777,1.43898,1.68582,0.0118733,9.41575e-05,
32,0.00481292,-0.0477977,-0.164673,-0.0220435,0.0460537,0,0.276662,0.312061,0.538517,0.9504,-0.0550601,-0.0391188,0.303609,0.476321,0.619816,0.523887,-0.524359,-0.326979,-0.682477,0.112486,0.523303,2.09499,-0.189789,-0.351458,0.5591,-0.00733036,-0.132691,-2.36865,-0.273167,0.000256415,-0.0344616,7.37293,4.63772,0.0574648,-1.19049e-05,
33,0.00321185,-0.0464452,0.110636,-0.00318954,0.0435059,0,-0.156132,0.0939366,0.508687,0.953225,-0.0432968,-0.0322323,0.297403,0.330951,0.602277,0.523879,-0.526182,0.0825608,-0.472761,0.116508,0.523308,1.89401,-0.310004,-0.776596,0.098689,0.605445,-0.386213,-3.43899,-0.435072,-0.000364528,-0.0417698,8.99744,0.0137052,0.106036,0.000124392,
34,0.00173786,-0.0446769,0.367722,0.0182734,0.039583,0,-0.490934,-0.138372,0.462768,0.954489,-0.0372399,-0.0168505,0.29543,0.184449,0.579347,0.523847,-0.528358,0.492996,-0.508819,0.121846,0.523313,1.79808,-0.499523,-0.949058,1.67428,0.0919911,0.684901,-2.38223,-0.509501,-0.000605902,-0.0491886,7.42409,-0.532195,0.0899771,-6.80817e-05,
35,0.00451196,-0.0430202,0.43163,0.0161055,0.0345532,0,-0.76014,-0.17762,0.403914,0.944026,-0.000558772,-0.00688921,0.329799,0.13428,0.557863,0.523822,-0.530435,0.537975,-0.560049,0.125202,0.52333,2.30128,-0.392333,-1.41472,1.43251,-0.183054,1.62594,0.362889,-0.351908,0.000317464,-0.0365024,-1.92088,-1.51062,0.0634439,0.00011987,
36,0.00666693,-0.0414016,0.300573,0.0260611,0.0339453,0,-0.274526,-0.0603016,0.396802,0.932964,-0.0191198,-0.00787376,0.359375,0.225283,0.536874,0.523695,-0.52929,0.313057,-0.660797,0.129067,0.523384,3.03095,0.414713,0.826525,-1.40485,-0.898605,1.22618,3.18656,-0.495555,0.000203016,0.0997225,-6.9765,-2.4744,0.0865863,0.000674862,
37,0.00760132,-0.0400551,-0.0189154,0.00596061,0.0385855,0,0.141521,0.161469,0.451094,0.923091,-0.03694,-0.028687,0.381727,0.430806,0.519414,0.523781,-0.52257,-0.074172,-0.788535,0.134908,0.523357,3.35333,0.40313,1.00357,-0.746793,-0.467186,0.785598,5.08003,0.0340262,0.00125882,0.0176166,-8.54736,-2.69014,0.14382,-0.000473927,
38,0.00834731,-0.040342,-0.344448,-0.0200566,0.0420675,0,0.463364,0.36684,0.491848,0.91085,-0.0565266,-0.0353758,0.407315,0.554861,0.523133,0.523809,-0.52349,-0.465659,-0.888041,0.142956,0.523342,2.98288,0.18992,0.619994,-0.303633,0.112263,1.67968,-0.571661,0.0781674,0.000457657,-0.0293969,-7.12756,-1.32436,0.16896,-7.00784e-05,
39,0.00884414,-0.0403749,-0.404215,-0.0307634,0.0434512,0,0.809423,0.409734,0.508046,0.897913,-0.0570852,-0.0311369,0.435344,0.46507,0.523561,0.523863,-0.525016,-0.551308,-0.885331,0.15312,0.523343,2.63133,0.256762,0.0398632,0.32635,0.020165,1.05675,-3.00557,-0.0474087,0.000130523,-0.0306438,1.59756,1.40917,0.230734,0.000123693,
40,0.00789602,-0.0403516,-0.18705,-0.0236987,0.0424193,0,0.276275,0.301148,0.495966,0.888718,-0.0435947,-0.0232057,0.455787,0.245339,0.523259,0.523874,-0.526597,-0.326148,-0.741286,0.166046,0.523344,2.29011,0.246863,-0.519761,0.934918,-0.000382106,0.684418,-5.76096,0.00458834,0.0001777,-0.0334632,7.35785,4.33232,0.287811,-3.99848e-05,
41,0.00543678,-0.0403629,0.259899,-0.00489922,0.0391574,0,-0.155833,0.0801776,0.457787,0.883416,-0.0209223,-0.00917601,0.468033,-0.069538,0.523405,0.523865,-0.528343,0.0825418,-0.491512,0.181745,0.523346,2.12448,0.117224,-0.945449,0.802502,0.35168,0.392881,-6.82448,0.000645496,-0.000417846,-0.0384178,8.97511,2.25538,0.343103,0.000164469,
42,0.00220169,-0.0403693,0.62144,0.016682,0.0344407,0,-0.489799,-0.153937,0.402597,0.878374,-0.0138962,0.00615073,0.477732,-0.35476,0.523488,0.523833,-0.530213,0.492073,-0.504969,0.199594,0.523353,2.18245,-0.01776,-1.10122,1.82566,-0.508135,1.22156,-4.52329,-0.00218186,-0.00109341,-0.0367135,7.40279,-0.604843,0.337902,3.45256e-05,
43,0.000682733,-0.0405611,0.678002,0.0321095,0.0319314,0,-0.774774,-0.185908,0.373245,0.864994,-0.00350246,-0.000836509,0.50177,-0.462334,0.525975,0.523089,-0.527731,0.538368,-0.562086,0.216492,0.523326,1.40701,0.548019,0.165607,-0.910154,1.05877,0.185075,0.180334,0.0894092,-0.0348598,0.170359,-1.81034,-1.64128,0.359662,0.000135473,
44,-0.00288502,-0.0411395,0.521514,0.0260196,0.0346764,0,-0.269412,-0.0582446,0.405356,0.860777,-0.0190151,-0.0175453,0.508324,-0.334628,0.533476,0.524331,-0.522279,0.313553,-0.673281,0.234366,0.52336,1.92809,0.25653,0.819651,-0.803599,-0.290194,0.160812,4.88877,0.211302,0.0199088,-0.0172062,-7.17489,-2.82812,0.363224,3.32107e-05,
45,-0.00740984,-0.0421189,0.0927892,0.0074158,0.0384596,0,0.151789,0.165589,0.449622,0.860821,-0.0400609,-0.0405766,0.505703,-0.00494543,0.546175,0.524023,-0.523234,-0.0827812,-0.820002,0.252254,0.523353,2.52775,0.18031,1.1955,-0.40763,-0.331013,-1.02761,8.1871,0.259686,-0.0092044,-0.00894145,-8.66589,-3.04134,0.374423,-5.7986e-05,
