step,action0,action1,action2,action3,action4,action5,action6,action7,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,state17,state18,state19,state20,state21,state22,state23,state24,state25,state26,
0,-0.00022707,-0.00403631,0.00134065,0.0759033,-0.0656782,0.00279958,-0.0115646,0.00620734,0.654131,0.996935,0.042092,0.0582416,-0.0309292,-0.00735012,0.0565116,0.0761231,0.0462263,-0.000918915,0.0158844,-0.0385503,0.043975,0.047868,0.0731876,0.0648389,0.0549416,0.0181467,0.0555343,0.0700165,0.0293458,0.035029,0.0451245,0.00214929,0.0969759,0.0306798,0.0941912,
1,0.00260498,-0.359551,0.000693865,0.0657175,0.00607242,0.00242213,0.0136852,0.0610935,0.678423,0.996418,0.0434952,0.066861,-0.0280848,-0.00380413,0.4405,0.06586,-0.414747,-0.00294006,-0.419904,-0.0370982,0.432808,0.122337,-0.0118961,0.270004,0.0578549,0.357219,0.148412,0.0712774,8.70201,-0.442557,-10.1798,-0.0813838,-9.62168,0.0278983,8.56043,
2,0.00194479,-0.259816,5.60758e-05,0.0452911,0.0894566,0.00166738,0.0115479,0.110716,0.673483,0.995586,0.0490817,0.0761421,-0.0245155,-0.000307437,0.876985,0.0453376,-0.910876,-0.00426404,-0.8779,-0.0352272,0.784359,0.064512,0.0478697,-0.474249,0.316316,0.390246,0.134172,0.0686707,8.75688,-0.378503,-9.66911,0.0276106,-8.706,0.0463342,5.52733,
3,-0.00124975,-0.153779,-0.000920927,0.0430806,0.146345,0.00158585,-0.0207624,0.141305,0.643569,0.998493,0.0186144,0.04669,-0.0220345,0.005049,1.26899,0.0431206,-1.28244,-0.00148906,-1.26253,-0.0337938,1.00108,-0.449428,-0.0544191,-0.415384,-1.20949,-2.54945,0.596169,0.229091,2.14292,0.270618,-0.445939,0.0848184,-2.87526,-0.0539646,3.19636,
4,-0.00297161,-0.0664723,-0.00302547,0.0828516,0.110556,0.00305755,-0.0708131,0.159319,0.634151,0.999835,6.11991e-05,-0.0146808,-0.0107028,0.0165872,1.24329,0.0831377,-1.23668,-0.00184454,-1.24166,-0.0364429,1.12872,-0.00535626,0.173858,0.334137,-0.55108,-1.07619,-0.169,0.228992,-0.880668,1.32474,1.02773,-0.105537,1.21569,-0.0522651,1.91699,
5,-0.00832366,-0.0173494,-0.00501342,0.16549,0.0278061,0.00617163,-0.110489,0.170793,0.653611,0.999251,-0.00295446,-0.0333862,-0.0193168,0.0274864,1.21576,0.167812,-1.1892,-0.0199636,-1.1549,-0.0396441,1.21003,0.3618,0.100014,0.259937,0.188947,-0.655717,-0.447654,0.204505,-0.227948,2.05601,0.907988,-0.612778,2.2766,-0.0745339,1.33981,
6,-0.0132053,0.0464366,-0.0066648,0.26341,-0.0805209,0.0100458,-0.118553,0.173349,0.656979,0.998355,0.00774229,-0.0486976,-0.0292428,0.0365404,1.22528,0.273154,-1.14476,-0.0699778,-1.01248,-0.0449166,1.22814,0.472206,0.0316786,-0.129961,0.618457,-0.543068,-0.394893,0.158503,0.0391051,2.15472,0.873553,-1.38072,3.41025,-0.135066,-0.175106,
7,-0.0107692,0.0141724,-0.00785052,0.341449,-0.182872,0.0133757,-0.0859779,0.172617,0.643441,0.997276,0.0284149,-0.0584723,-0.0348554,0.0430415,1.22347,0.363697,-1.10166,-0.159036,-0.814393,-0.0540653,1.22295,0.631488,-0.164748,-0.424011,1.01304,-0.213971,-0.114225,0.101647,-0.0331033,1.47424,0.853214,-2.17513,4.50407,-0.230409,-0.0427948,
8,-0.000608118,-0.0425021,-0.00847342,0.372929,-0.248564,0.0148068,-0.0145132,0.172476,0.613254,0.99605,0.0569409,-0.0608679,-0.0306284,0.0464568,1.22282,0.40261,-1.05845,-0.281031,-0.563151,-0.0674529,1.22195,0.629681,-0.30118,-0.661201,1.03455,-0.00892647,0.25268,0.0353785,-0.00336318,0.0947326,0.877953,-2.69681,5.53349,-0.310468,-0.00304444,
9,0.00883013,-0.107405,-0.00846976,0.340392,-0.226792,0.0133286,0.0782734,0.17216,0.611815,0.996602,0.0475719,-0.0624686,-0.0248922,0.0464367,1.22282,0.362418,-1.01542,-0.414816,-0.491315,-0.0835132,1.21972,0.242881,-0.0913107,0.0699776,-0.782908,0.131526,0.357394,-0.0333173,0.000651413,-1.69259,0.858746,-2.66672,-0.845621,-0.317347,-0.155009,
