step,action0,action1,action2,action3,action4,action5,action6,action7,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,state17,state18,state19,state20,state21,state22,state23,state24,state25,state26,
0,0.0214251,0.0420672,0.0204606,0.0569547,-0.0427089,0,0.100452,0,0.654131,0.996935,0.042092,0.0582416,-0.0309292,-0.00735012,0.0565116,0.0761231,0.0462263,-0.000918915,0.0158844,-0.0385503,0.043975,0.047868,0.0731876,0.0648389,0.0549416,0.0181467,0.0555343,0.0700165,0.0293458,0.035029,0.0451245,0.00214929,0.0969759,0.0306798,0.0941912,
1,0.0209455,0.0431062,0.011143,0.0296208,-0.136453,0,0.0829157,0,0.678583,0.996357,0.0431329,0.0669638,-0.0304792,-0.000222881,0.439054,0.0701646,-0.414933,0.0174459,-0.420327,-0.0330291,0.436058,0.104071,0.00787908,0.27723,0.0315464,0.356918,-0.0393801,0.213281,8.6128,-0.27208,-10.192,0.727817,-9.64931,0.189204,8.76853,
2,0.0198085,0.0436949,0.00165501,0.00917736,0.179456,0,0.0289225,0,0.675025,0.995783,0.0437227,0.0747115,-0.0303732,0.012127,0.864532,0.0319907,-0.911977,0.0680882,-0.890923,-0.0199407,0.871625,0.0312227,0.0101021,-0.436934,-0.00119826,0.258593,0.0239677,0.280905,8.40801,-1.24865,-9.69376,1.29439,-9.17822,0.333081,8.65505,
3,0.0181867,0,-0.00104304,-0.0618941,0.225108,0,-0.198458,0,0.651953,0.999184,-0.0221956,0.00785489,-0.0328318,0.0287046,1.2551,0.00382789,-1.28344,0.13533,-1.29226,-0.00127324,1.26996,-0.237973,-0.0535176,-0.546085,-1.42121,-4.50409,0.314047,0.391053,3.17262,0.107674,-0.423297,1.40569,-1.76375,0.414502,3.06853,
4,0.0161349,0,-0.00247346,-0.0361227,-0.100249,0,-0.189248,0,0.655914,0.99892,-0.00322274,-0.0420863,-0.0194009,0.04742,1.24147,0.0506516,-1.23717,0.167595,-1.2452,0.022341,1.24626,0.429734,-0.69425,0.206011,1.54689,-1.03155,0.236041,0.36427,-1.07935,1.73737,1.07499,-0.103247,1.34819,0.529723,-1.13037,
5,0.0136445,0.0191774,-0.00357538,0.0294592,-0.157504,0,-0.0940998,0,0.676493,0.998684,0.0191797,-0.044673,-0.0163456,0.064738,1.1821,0.117468,-1.18501,0.127436,-1.1862,0.0510029,1.19108,0.788123,-0.241766,0.339581,0.564826,0.163181,0.214795,0.326938,-1.29229,0.933462,1.01782,-1.47819,1.09681,0.61361,-1.07479,
6,0.0108381,0.0307412,-0.00453086,0.0638012,0.0527949,0,0.0310385,0,0.682379,0.998681,0.0307509,-0.0404965,-0.00716976,0.079939,1.12442,0.134127,-1.13532,0.0381361,-1.13309,0.083298,1.1422,0.802662,-0.265546,-0.125592,0.429219,0.178628,0.457352,0.281555,-1.01701,-0.257152,0.969814,-2.08997,1.03422,0.678227,-0.882338,
7,0.00780504,0.036374,-0.00558383,0.053388,0.162478,0,0.148695,0,0.669766,0.998738,0.03639,-0.0342543,0.00494619,0.0928759,1.08652,0.131313,-1.08801,-0.0579002,-1.0844,0.1182,1.10486,0.997511,-0.080934,-0.36242,0.0487754,0.379433,0.464712,0.236487,-0.503175,0.141992,0.922938,-1.75558,0.909177,0.717386,-0.613558,
8,0.00462669,0.0362535,-0.00645255,0.00977111,0.309145,0,0.210767,0,0.643058,0.999068,0.0362694,-0.020611,0.0110807,0.103571,1.07176,0.168164,-1.04308,-0.116634,-1.04068,0.154773,1.08151,1.06637,0.0866494,-0.705136,-0.0397409,0.750036,-0.0252132,0.191792,-0.0910924,1.32245,0.874243,-0.604627,0.841777,0.745695,-0.32293,
9,0.0013673,0.0282633,-0.0072207,-0.0504382,0.221902,0,0.183124,0,0.605052,0.999595,0.0282708,-0.00286441,0.00132911,0.111943,1.06912,0.289443,-1.00049,-0.107705,-0.999986,0.192276,1.07414,0.531941,0.617766,-0.50436,-1.24103,-0.0590877,-0.845385,0.139398,-0.0135682,3.51015,0.833192,0.961923,0.786036,0.754306,0.121846,
