step,action0,action1,action2,action3,action4,action5,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,
0,-0.0230742,-0.018911,0.0549162,-1,0.0205546,-0.00385646,0.0630394,-0.0518677,-0.0133034,-0.010785,0.0615661,0.0236643,-0.0997345,-0.0495433,0.0991976,0.0146351,0.0922247,0.0411597,0.047769,0.0452996,0.0132324,0.0242512,0.0549715,
1,-0.0733743,-0.81697,0.105939,-1,0.0662916,-0.0124377,0.0542289,-0.0296444,-0.0460777,-0.0347834,0.0336316,-0.354374,0.100108,0.0126214,-0.537966,-0.412945,0.759301,-0.847436,-0.62438,-0.755957,-10.0757,4.28538,1.62576,
2,-0.621911,-0.636434,0.0647437,-1,0.637984,-0.121303,0.0221443,0.0519034,-0.0133012,-0.339243,0.0433508,-0.792284,0.137124,0.0543403,-0.229194,-0.89565,1.6887,0.961641,-6.57297,0.517198,-6.54092,-1.82163,0.0648343,
3,-0.6125,-0.0506084,-0.991412,-0.0554499,0.643327,-0.122382,-0.0459229,0.0866849,-0.158079,-0.34226,0.0602346,-0.94494,0.159395,-0.0436164,-0.228518,-1.5827,0.0669655,-4.17623,2.3587,0.0151791,-0.272061,1.29993,-2.7231,
4,-0.0233822,0.924434,-0.0724447,-1,0.0217171,-0.00407457,-0.140696,-0.00405849,-0.315327,-0.011395,-0.381125,-0.443207,0.160556,-0.178752,0.684467,-2.07723,-2.20143,-1.90574,5.79603,-10.3757,13.2225,0.927863,-1.86295,
5,0.591211,-0.0841738,-0.127239,-1,-0.684174,0.130741,-0.195232,-0.0189559,-0.443141,0.365639,-0.438405,-0.280664,-0.0140472,-0.303979,0.316354,-0.555884,0.646333,-0.87579,4.75723,2.06319,-2.04879,-2.24,-0.127932,
6,-0.00339197,-0.488215,0.702615,-1,0.00353303,-0.000662868,-0.177202,0.134279,-0.086551,-0.00185379,-0.373224,-0.536711,-0.24913,-0.0768982,1.20419,0.412715,3.43251,9.87084,-10.2333,3.07854,-5.83603,-5.10101,6.14346,
7,-0.511509,-0.535097,-0.515612,0.273616,0.599253,-0.11357,-0.169686,0.275607,0.147686,-0.317615,0.156277,-0.833975,-0.241889,0.0809373,0.810796,-0.039387,2.07803,1.60332,-2.38488,12.9834,-4.83535,-0.322764,-0.570344,
8,-0.224634,0.779585,-0.581939,0.24703,0.251595,-0.0472173,-0.171082,0.252857,0.0820035,-0.132049,0.0970552,-0.552388,-0.294562,-0.303627,0.797788,0.0287559,-1.59105,-2.6418,4.82768,-7.41674,9.54369,-0.375945,-10.2475,
9,0.578691,0.794884,0.459812,-1,-0.72075,0.138437,-0.18897,0.0877027,-0.10581,0.387166,-0.333458,-0.0231223,-0.261264,-0.530538,0.705438,-0.400104,-4.0579,-3.15375,9.47491,-6.6741,8.62997,-0.428309,0.497073,
10,0.738284,-0.673152,0.563076,-1,-0.907886,0.185258,-0.193283,-0.0564705,0.0136645,0.518137,-0.125656,-0.127895,-0.188567,-0.142912,0.877674,0.360513,-1.32718,3.35951,3.74025,2.58429,-7.60806,1.53466,10.4828,
11,0.0528413,-0.813086,0.651921,-1,-0.0504178,0.00945942,-0.152619,0.0137995,0.354276,0.0264544,0.158742,-0.613911,-0.289214,0.303048,1.64861,0.820163,2.43094,7.00713,-13.8519,6.27963,-9.60491,-3.92262,6.24487,
12,-0.683424,-0.584451,-0.460171,0.059571,0.756278,-0.146169,-0.124728,0.129079,0.389511,-0.40879,0.466095,-0.998058,-0.22786,0.259116,1.16285,0.411693,1.96712,-2.51985,-3.28084,4.18986,-4.54807,3.04655,-4.67784,
13,-0.335631,0.889328,-0.957602,0.0654423,0.346005,-0.0649823,-0.10689,0.132163,0.0265725,-0.181731,0.0412204,-0.612178,0.0879136,-0.149115,1.38153,0.154431,-0.62386,-8.71469,4.96398,-12.0412,12.6987,7.81942,-8.00058,
14,0.539743,0.884412,0.462951,-1,-0.620031,0.117701,-0.136933,0.011833,-0.392214,0.329169,-0.49959,-0.0095926,0.0360658,-0.528455,1.77238,-0.780119,-2.89201,-6.41041,8.71787,-0.0679687,10.8867,-1.03777,0.501061,
15,0.62871,-0.557715,0.172384,-1,-0.726912,0.139758,-0.145247,-0.0510272,-0.225015,0.39086,-0.119474,0.00976719,-0.00381215,-0.118632,1.97934,0.494918,0.336818,4.16826,0.87915,0.132349,-5.93222,-1.12385,11.0074,
16,-0.308527,-0.836754,0.750762,-1,0.301303,-0.0565626,-0.106026,0.0660028,0.20961,-0.158184,-0.0465625,-0.489469,-0.176039,0.329644,2.26894,0.477252,2.6659,8.84405,-12.9973,2.98616,-10.8663,-4.52193,5.98765,
17,-0.700112,-0.734084,-0.303469,0.156833,0.80445,-0.157215,-0.107566,0.180403,0.230949,-0.439688,0.38399,-0.99717,-0.070477,0.245253,1.70312,-0.277493,1.89203,-3.56308,-0.418267,8.55864,-7.175,4.19393,-5.69449,
18,-0.313688,0.900659,-0.389897,0.140659,0.332663,-0.0624674,-0.123566,0.172069,-0.034086,-0.174697,0.162524,-0.621811,0.132419,-0.188204,2.50181,-0.339835,-0.5515,-5.07856,6.88221,-8.58784,13.561,4.32494,-8.24368,
19,0.617327,0.859312,0.2273,-1,-0.768734,0.148954,-0.163027,0.0569139,-0.277594,0.41658,-0.281852,-0.00668714,-0.10331,-0.532455,2.50296,-0.861828,-2.77114,-2.90754,10.1161,-6.42521,10.6114,-4.4945,0.604829,
20,0.68876,-0.627194,0.000874553,-1,-0.845777,0.167457,-0.18643,-0.0210825,0.00438744,0.468338,-0.135924,-0.0404809,-0.206551,-0.130217,2.355,-0.428274,-1.12054,8.80867,-2.47467,6.92953,-6.93165,-0.865634,10.8243,
21,-0.0657452,-0.868285,0.440958,-1,0.0633492,-0.0118856,-0.194626,0.0454439,0.458675,-0.0332395,0.0266429,-0.587527,-0.306299,0.311474,2.61579,-0.294429,2.29926,7.40684,-11.3958,1.8734,-11.6781,-2.79076,5.93585,
22,-0.570496,-0.487294,-0.0805903,0.164211,0.636244,-0.120953,-0.211217,0.18511,0.440621,-0.338263,0.318406,-1.0506,-0.187703,0.238204,2.246,-0.303123,2.50901,-3.78958,-2.36469,5.42128,-3.78065,3.25078,-5.5056,
23,-0.0275913,0.830504,-0.497402,0.178624,0.0300147,-0.00563138,-0.206968,0.196671,0.0946412,-0.0157488,0.248631,-0.64533,-0.199856,-0.187704,2.29088,0.550728,-1.05624,-6.3896,10.7237,-2.37085,11.2806,-5.43053,-8.61669,
24,0.682364,0.875027,-0.157504,-0.0367606,-0.894654,0.181108,-0.195554,0.0924161,-0.0876401,0.506525,-0.18851,-0.000449891,-0.324791,-0.46508,2.61427,0.18493,-2.18666,-1.46186,7.08908,-9.12156,11.4504,0.417412,-2.67586,
25,0.715196,0.371019,0.408138,-1,-0.9075,0.185133,-0.184569,0.0140462,0.148979,0.517788,-0.29552,0.313328,-0.341998,-0.224928,2.75559,0.221724,-1.40226,6.68137,-2.49311,2.09144,2.58197,-0.475746,8.22911,
26,0.379886,-0.926837,0.0961248,-1,-0.3878,0.0728751,-0.165715,-0.0266191,0.374528,0.203804,0.132658,-0.138971,-0.263092,0.223349,1.61548,0.152983,-0.262286,2.4947,-6.19207,9.20853,-14.1093,2.03798,8.04049,
27,-0.391574,-0.90038,-0.073756,-0.118108,0.386835,-0.0726927,-0.163565,0.0698137,0.449793,-0.203294,0.329089,-0.864627,-0.145952,0.331222,1.9352,-0.0776522,2.85467,1.25691,-6.65446,0.440072,-12.0976,0.880819,-1.7445,
28,-0.477526,0.676179,-0.396493,0.12826,0.514272,-0.09699,-0.157881,0.164191,0.279204,-0.271245,0.153227,-0.831014,-0.0864384,-0.020806,2.23035,0.232452,1.33829,-5.56277,0.831607,-4.64731,7.73856,1.50187,-8.43855,
